,texto,sentimiento,texto_normalizado
5835,¿Qué es la EDE?buena reflexión de Jordi Muixí http://t.co/8Z5i6ZqX,2,¿ ede buen reflexion jordi muix
4326,"Frase de taxista:""a ver si estos del #17congresoPP se gastan más que los del PSOE del otro día, que venían sin un duro""",1,fras taxist ver si 17congresopp gast pso dia ven dur
14795,"@anacubilla @ppopular si se sabe q va ganar las elecciones el pp, i sube la prima 100 puntos, el rigor de los mercados, marca desconfianza",1,si sab q va gan eleccion pp i sub prim 100 punt rigor merc marc desconfi
12208,@acules cómo lo subiste? Yo lo único que puedo hacer es dar dar el cel contra la pared y no sube de nivel nunca,1,com sub unic pued hac dar dar cel par sub nivel nunc
2553,"Me acabo de enterar de que el abogado de #Garzón es el que defendió a Campanario, y luego dicen de Peláez!!",0,acab enter abog garzon defend campanari lueg dic pelaez
2686,La misa en 24h muestra la ausencia de  transición  democrática en la aconfesionalidad y  en la memoria republicana y antifranquista,0,mis 24h muestr ausenci transicion democrat aconfesional memori republican antifranqu
15410,@conRubalcaba indignadísimo!! último día para votar por correo y no han llegado los votos #pucherazo!!!! no me dejan votar,1,indignadisim ultim dia vot corre lleg vot pucheraz dej vot
1563,@pacomarhuenda Esta mañana me he encontrado esto colgado en La Moncloa https://t.co/cKFbyWrD,0,mañan encontr colg monclo
12866,Todo lo bueno que pase en el año. Poco a poco se esta perdiendo... Ups and downs...,1,buen pas año perd ... ups and downs ...
555,"Aunque se cayera, igual volvería para el especial navideño de TCMS... http://t.co/JvsKAVbT",0,aunqu cayer igual volv especial navideñ tcms ...
3071,"Twitter censurará tuits inadecuados. Por ejemplo, pronazis en Alemania. ¿Y profranquistas en España?",1,twitt censur tuits inadecu ejempl pronazis alemani ¿ profranqu españ
4474,"Qué pedazo de MVP, Sergio Llull, aquel chico menorquín que debutó metiéndole cuatro triples a un equipo de la NBA. Y Carroll!!",2,pedaz mvp sergi llull aquel chic menorquin debut met cuatr tripl equip nba carroll
7530,"Norte, Sur, Este y Oeste. @UPyD estamos por toda España, #Seguimos  Con más ganas e ilusión que nunca @JulianUPyD http://t.co/rqu0xQRujF ",2,nort sur oest tod españ segu gan ilusion nunc
9235,@gbernucci es correcto algo pasa,0,correct pas
14148,"Fui sincera, supongo que está bien",0,sincer supong bien
10753,"@LibrosdeMaria no sé si hubo más gente, pero ayer te tagueé yo  ayy, Hannibal es que moooooola tanto!",2,se si gent ayer tague ayy hannibal moool
1416,“@Leticia_Iove: @David_Busta cumpli años el 21 pero aun estás a tiempo si me quieres felicitar jeje besazo”FELICIDADES!!!;-),2,“ cumpli años 21 aun tiemp si quier felicit jej besaz ” felic ;-)
10359,Jajajajaja ay que triste me siento,1,jajajajaj ay trist sient
13600,Hazme un favor y has lo posible por no cruzarte conmigo este año,0,hazm favor posibl cruzart conmig año
4601,En el avión camino de Tenerife junto a @PastoraSoler @Chelu_Sanchez e @Igorbustamante :-) hasta luego!!!,2,avion camin tenerif junt :-) lueg
14382,extraño cantar todas las de @CNCOmusic con esta estupida @99Allison11,1,extrañ cant tod estup
7400,@variedades1961 @cmgorriaran @UPyD pero al quiere respeto para usted ( lo debido )  tengalo con los demás . ,1,quier respet usted deb tengal demas
16442,"OPINIÓN: Sí PP y PSOE fueran partidos nuevos, sin historia, y la gente echara un vistazo a las propuestas de cada partido... ganaría @UPyD",2,opinion pp pso part nuev histori gent echar vistaz propuest cad part ... gan
13024,@GerardoAmarilla y pensar que acá en #TreintaYTres le hacen monumento a #Comunistas. En #Flores a #Sendic. Cuan equivocado estamos,1,pens aca treintaytr hac monument comun flor sendic cuan equivoc
13101,@AmorAKilates @Roocio_Mk si me pasa lo mismo!,0,si pas mism
8789,"@CamposGeovanni en eso estamos claros, pero yo tengo fe en que los ticos somos solidarios cuando mas se necesita",2,clar fe tic solidari mas necesit
15242,SI a medidas potentes que garanticen precios dignos del aceite de oliva a olivareros y consumidores @conRubalcaba #votaPSOE,2,si med potent garantic preci dign aceit oliv olivarer consumidor votapso
9505,Muchas veces dije que ojalá pudiera borrar ciertos recuerdos de mi mente pero ahora se que se siente culero no acordarse de las cosas,1,much vec dij ojal pud borr ciert recuerd ment ahor culer acord cos
15263,"""@CarmeChacon2011: ""Cospedal anuncia que si Rajoy gana la gente saldra a la calle. Yo digo q salgamos el #20n votando""""",0,cospedal anunci si rajoy gan gent saldr call dig q salg 20n vot
14405,te seguiría por twitter pero ya sería demasiado obvio mejor así queda,0,segu twitt demasi obvi mejor asi qued
14111,"@MoisesDelgadoG Gracias primito, le haré presente los saludos! Estás invitado si puedes vienes",2,graci primit har present salud invit si pued vien
28,#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,2,ff ser gran inici moment necesit record import verdader
355,Gracias chicos“@QueDicen_com: @PaulaVazquezTV: la última estrella ya brilla en Antena 3 http://t.co/sgtYTYng [http://t.co/4u7OLDDU]”,2,graci chic “ ultim estrell brill anten 3
13211,PPK hizo una mención especial a todos los jóvenes que marcharon anoche. La lucha no fue en vano. #MensajeALaNación #LaEducaciónSeRespeta,2,ppk hiz mencion especial joven march anoch luch van mensajealan laeducacionserespet
12614,Uno se levanta para jugar al fútbol y la gente va por la calle disfrazada saliendo del boliche,0,levant jug futbol gent va call disfraz sal bolich
12912,"@Pkba88 @losbidones recién veo toda la discusión, larguísima! (yo ya tengo novia! )",0,recien veo tod discusion larguisim novi
14638,El PP reclama un sueldo más alto para Aznar y justifica sus contratos millonarios - #nolesvotes #nomeolvido #20n #VaeO http://t.co/q08VsiEV,1,pp reclam sueld alto aznar justif contrat millonari nolesvot nomeolv 20n vae
8525,"Mi consejo de hoy es: Si quieres que esa persona tan especial para ti nunca te olvide, pídele dinero prestado y nunca se lo pagues",0,consej hoy si quier person tan especial nunc olvid pidel diner prest nunc pag
5643,Buenos días foloweros!!!;)) happy monday!!!;),2,buen dias folower ;) happy monday ;)
6866,Muchas gracias! RT @sangaruz: @sevillajordi Me ha gustado su intervención en radio nacional,2,much graci rt gust intervencion radi nacional
10695,"@achocoblog ... bueno, desierta, desierta, no, con algunos seres feéricos  ",2,... buen desiert desiert ser feeric
9697,"Personas que dicen que el 29 de julio sera el fin, lo que no saben es que se acercan dos fin, el fin del mes y el fin de semana Buen día",0,person dic 29 juli ser fin sab acerc dos fin fin mes fin seman buen dia
15989,Arenas nombra a @conRubalcaba y el Palacio Deportes se cae. Pitos y abucheos al candidato del @PSOE. ¿Zapatero existe? pregunta #20N,0,aren nombr palaci deport cae pit abuche candidat ¿ zapater exist pregunt 20n
4224,En malaga con Inma!,0,malag inma
964,Nada le gustaría tanto al PP como tener a Rubal enfrente 4 años siendo rehén de su pasado. El PSOE estará loco si no se renueva.,0,gust pp ten rubal enfrent 4 años siend rehen pas pso loc si renuev
6750,Oleeee! RT “@TrendsEspana: #lasextacolumna es ahora una tendencia en Spain http://t.co/UgONgTxC” #Malestar,2,olee rt “ lasextacolumn ahor tendenci spain
120,Krugman: la austeridad está matando al euro http://t.co/CbRL2Rj8 via @el_pais,1,krugm auster mat eur
6795,"""Los sindicatos del siglo XXI"", el epílogo de hoy en #ePeriódico.http://t.co/f4ZFB9HK",0,sindicat sigl xxi epilog hoy eperiod
4228,Aznar tendrá su discurso el sábado en el Congreso del PP en Sevilla,0,aznar discurs sab congres pp sevill
5579,"Más majos. Aqui, charlando de cine http://t.co/7YNirPOL",2,maj aqui charl cin
328,"http://t.co/9LcJhqsb os dejo con las fotos del concierto de Palma de Mallorca, veréis que visita de lujo he recibido esta noche...",2,
4710,"Reunión con el presidente del Consejo de Ministros italiano, Mario Monti http://t.co/K1BeTU4M http://t.co/MgCQk9Bi",0,reunion president consej ministr italian mari monti
3281,Buenos días a todos!,0,buen dias
2370,La emisión de CO2 en el volcán de El Hierro continúa descendiendo http://t.co/j1IA5O25 (ep),2,emision co2 volcan hierr continu descend
5522,Listos para arrancar!!!! @telediariointer 20:30 con @LosadaPescador @icacabelos http://t.co/eCzEqBJW,2,list arranc 20:30
2544,"#Extremadura La Fiscalía también pidió parar las obras, leído en El Periódico Extremadura http://t.co/5LFXMI5O",0,extremadur fiscal pid par obras leid period extremadur
15334,"@TereRomgar Tú sabías que no ibas a poder votar por correo por el tongo del @PSOE y has vuelto a tiempo para votar en persona, jajajaa",1,sab ibas pod vot corre tong vuelt tiemp vot person jajaja
2178,"@PalomaCervilla @@merceperello @@PalomaCervilla por supuesto, pero no creo que negarse a malgastar dinero sea equivocarse",0,@merceperell @palomacervill supuest cre neg malgast diner equivoc
4898,Ya a dormir. Cierro el estudio son las 4:00 de la mañana... Hay noches y noches. Os mando abrazos. Mañana a seguir trabajando. Feliz semana.,2,dorm cierr estudi 4:00 mañan ... noch noch mand abraz mañan segu trabaj feliz seman
5153,El programa del cambio andaluz http://t.co/sLnxWXoX,0,program cambi andaluz
1209,"Viendo al amiguete @danimartinezweb. Impresionante imitando a Eduardo Gómez, Flippy, Matías Prats, Shakira, Nadal... http://t.co/bmhYjKFY",2,viend amiguet impresion imit eduard gomez flippy mat prats shakir nadal ...
9393,"Ojalá ya mañana tuviera todo listo, que ya tuviera casa",2,ojal mañan list cas
13362,"Toca ir a trabajar así me duela el tobillo, necesito el dinero ya que ahora es mi único ingreso.",0,toc ir trabaj asi duel tobill necesit diner ahor unic ingres
3123,"Demasiados Consejos Europeos ""históricos"".Este lunes mejor que lo sea menos y resuelva unas cuantas cosas de verdad.De acuerdo con Felipe",2,demasi consej europe histor lun mejor men resuelv unas cuant cos verdad.d acuerd felip
14337,Feo es estar enfermo con gripe a esta alta temperatura de tarapoto,1,feo enferm grip alta temperatur tarapot
9377,Hoy de lo único que tengo ganas es de estar en mi camita acurrucadita.,1,hoy unic gan camit acurrucadit
3766,Esta tarde habrá un reconocimiento a Fraga en el #congreso a cargo del Pte.Posada. No será en nombre de la cámara. IU anuncia que no estará.,0,tard reconoc frag congres carg pte.p nombr cam iu anunci
12807,"@MarBerrondo2 jajaja hacelo por mi, yo estoy insertada estudiando..",1,jajaj hacel insert estudi ..
13469,"@LeslieLeiblinZa claro que si, yo estoy en Asia se sintió fuerte pero fue cortito",0,clar si asi sint fuert cortit
16289,En El Pirata de La Alberca viendo a Esther Herguedas de @iunida Cuántos años sin venir por aquí!,2,pirat alberc viend esther hergued cuant años ven aqu
4550,"“@PabloLopezMusic: @David_Busta venga va, tu a los 333.333 y yo a los 3333...David!!!”VAMOOOOOS!!!",0,“ veng va 333.333 333 ... dav ” vamoo
15968,@isabelrguez desde Chillón: los grandes cambios en nuestra sociedad los ha hecho el @PSOE y siempre SIN el apoyo del PP,0,chillon grand cambi socied hech siempr apoy pp
14574,@marianorajoy A mí inviable me parecen los fraudes fiscales que cometen miembros de su partido no una ley que afecta a miles de familias.,0,inviabl parec fraud fiscal comet miembr part ley afect mil famili
9566,@belindapop #AskBeli ¿Sabes lo que significas para la vida de muchas personas (incluido yo)? FAN desde los 7 años tengo 24,0,askbeli ¿ sab signif vid much person inclu fan 7 años 24
10781,nos lo habíamos encontrado y estaba asustado cruzando una carretera y al final nos hemos tenido que marchar sin él. ,1,encontr asust cruz carreter final march
14852,Los españoles somos de 1ª división. Y por eso España saldrá de la crisis gracias a la ayuda de todos. #sumatealcambio http://t.co/LCmQQpgj,2,español 1ª division españ saldr crisis graci ayud sumatealcambi
1561,Sorprendente. En Menáme han decidido que mi último artículo está duplicado y lo han cerrado. http://t.co/ciQl5rsX,1,sorprendent menam decid ultim articul duplic cerr
14473,"Bueno, ¡a finalizar el último libro que tengo en mi “currently-reading” de @goodreads antes que termine el año!",0,buen ¡ finaliz ultim libr “ currently-reading ” termin año
6214,A por las dos últimas semanas en Madrid con #yeswespainISDIFFERENT !!!;) -12 funciones!,2,dos ultim seman madr yeswespainisdifferent ;) 12 funcion
9515,"Si vienes, por ejemplo, desde las cuatro de la tarde, comenzaré a ser feliz desde las tres.",2,si vien ejempl cuatr tard comenz ser feliz tres
4541,"La respuesta policial de Valencia obedece a la agresividad de los manifestantes, dice el responsable de la policía de la Com Valenciana",1,respuest policial valenci obedec agres manifest dic respons polic com valencian
1782,“@pablonieto22: @David_Busta socio el otro día me fui corriendo y no me pude despedir;) te quedaste impresionado de mi cálida ehh??”NUMBER 1,2,“ soci dia corr pud desped ;) qued impresion cal ehh ” numb 1
8893,"Mis primos se fueron para cancun hoy, adivinen quien no fue por ser la unica -18?",1,prim cancun hoy adivin ser unic 18
1095,"@anai_martin @Semanaldigital Gara, fiel a su línea editorial: quienes están en la cárcel, a la calle siempre que sean d ETA. D traca!",1,gar fiel line editorial carcel call siempr d eta d trac
5544,Acabo de recibir ejemplares d mi nuevo libro q sale en una semana. Que os guste! http://t.co/sY4YmPxs,2,acab recib ejemplar d nuev libr q sal seman gust
12717,"@xkidas @diegodechena Te voy a liberar de mí, así dejás de lloriquear y protestar, chilena huevona. Chauuu",1,voy liber asi dejas lloriqu protest chilen huevon chauuu
9397,Pues aquí pensando pendejadas mientras mis pendientes siguen igual y mi corazón sigue sin latir a su ritmo normal ja ja,1,pues aqu pens pendej mientr pendient sig igual corazon sig lat ritm normal ja ja
14786,@marianorajoy ¿a cuántas familias piensa dejar sin la indispensable ayuda de la Ley de Dependencia? En Andalucía sólo serían demasiadas...,0,¿ cuant famili piens dej indispens ayud ley dependent andaluc sol demasi ...
677,Jejeje. Esooo. Un beso RT @MundoSanzeroMex: @AlejandroSanz holaaa!!!! Nosotros haciendo llamadas (cont) http://t.co/sVZae800,2,jejej esoo bes rt holaa hac llam cont
16971,@PaulaRuMar @cayo_lara Ojalá. Sería precioso. Estaría bien aunque sólo fuera para verles la cara a aquellos que critican IU sin saber.,0,ojal precios bien aunqu sol verl car aquell critic iu sab
1392,"Por lo que dice y quien lo hace,importante. Europa del futuro Jean-Claude Trichet Project Syndicate http://t.co/2tqmE07y vía @ProSyn #oped",2,dic hac import europ futur jean-claud trichet project syndicat
752,Gracias amigo. Un abrazo RT @RogerBarra: @AlejandroSanz Excelente concierto en Veracruz!,2,graci amig abraz rt excelent conciert veracruz
3737,Contra la sujeción de los ebooks a las plataformas y el DRM RT @JulietaLionetti http://t.co/6ESg6yFP @jwikert at his best!,1,sujecion ebooks plataform drm rt
2976,.@XabiAlonso Eres siempre el más sensato y caballero y señor del Real Madrid en el campo y ante los micros. Una cabeza bien armada.,2,siempr sensat caballer señor real madr camp micr cabez bien armad
6695,"#LaPepa 339 ""Las contribuciones se repartirán entre todos los españoles con proporción a sus facultades, sin excepción ni privilegio alguno""",2,lapep 339 contribu repart español proporcion facultad excepcion privilegi algun
3215,De camino a La x radio,0,camin x radi
1770,"Oido en El Corte Ingles esta mañana: ""los Ipad están todos agotados"". O han traido pocos o desde luego la crisis no es para todos.",0,oid cort ingles mañan ipad agot tra poc lueg crisis
16275,"Fuentes UCIDE, principal asociación islámica #España, dicen en su comunicado se sugiere a musulmanes españoles que no voten PP ni CiU #20N",1,fuent ucid principal asoci islam españ dic comunic sugier musulman español vot pp ciu 20n
12118,@cuervotinelli osea entro en la aplicación en el celu y se me cierra a los 5 segundos. #Misterio ...,1,ose entro aplic celu cierr 5 segund misteri ...
3022,"La consejera Aguayo contradice lo que Griñán afirmó ayer respecto al déficit, dando la razón a @javierarenas_pp  #GriñanMiente",0,consejer aguay contradic griñan afirm ayer respect deficit dand razon griñanmient
5401,"Reforma laboral. La portavoz del PSOE la define como ""el ajuste de cuentas de la derecha mas radical de este país""",2,reform laboral portavoz pso defin ajust cuent derech mas radical pais
7857,@sanchezcastejon un acosador de homosexuales.. http://t.co/pG2irBLFWX ,1,acos homosexual ..
6876,"El PSdeG dice que Feijóo ""ya tiene su Prestige"". Yo creo q quien ansia un Prestige es el PSOE. #LoLlamanCarroña a ese tipo oposicion",1,psdeg dic feijo prestig cre q ansi prestig pso lollamancarroñ tip oposicion
5191,"@iescolar pues el que lidera la cosa de la privatización no parece muy legal, según El mundo...",1,pues lider cos privatiz parec legal segun mund ...
4619,Hoy interpelamos al gobierno sobre los desahucios inhumanos y la dación en pago.,1,hoy interpel gobiern desahuci inhuman dacion pag
13130,Y es jvsto en ese preciso instante en el cval le dices a tv papá Qve qvieres ser Dj y al final tome la decicion de mandarte a la mrd,0,jvsto precis instant cval dic tv pap qve qvier ser dj final tom decicion mandart mrd
15973,"Europa no crece, España no crece, las políticas de ajuste no son suficiente #MarianoNo, #conRubalcaba",0,europ crec españ crec polit ajust suficient marianon conrubalc
14555,@ilazo @lorenadcw no tengo catálogo de modelos de polvos azules amiga,0,catalog model polv azul amig
9846,@TonsqueAxel @YouTube te extraño como loca,1,extrañ loc
8147,"Ya tengo fiebre de nuevo y mami ""se puede tomar una pastilla hasta las 12"" valdré verga hasta esa hora",1,fiebr nuev mami pued tom pastill 12 valdr verg hor
7969,"@ahorapodemos  #PODEMOS fruto de incapacidad de actores políticos p/solucionar problemas de confianza, corrupción y liderazgo en sus filas ",1,pod frut incapac actor polit p solucion problem confianz corrupcion liderazg fil
4264,73 denuncias por no recoger los excrementos de las  mascotas vía @diario_sur  http://t.co/tQNSi4fc,1,73 denunci recog excrement mascot via
9982,"Cálmala pinche Jesús, si me quiero morir y todo pero no de esta forma tan culera, que me atropelle un carro mejor.",1,calmal pinch jesus si quier mor form tan culer atropell carr mejor
6826,Perdón Carlos Alvárez no Marcelo Alvarez cantando don Giovanni.,0,perdon carl alvarez marcel alvarez cant don giovanni
8114,Qué bueno que las aprovecharon @lateachercr @ligoca72,2,buen aprovech
701,"@antoniosanz : @PepeGrinan ""falta el respeto"" e ""insulta"" a la juez del caso ERE al decir que está siendo ""manipulada"" http://t.co/4R5hQzjo",1,falt respet insult juez cas ere dec siend manipul
6171,El PP y el Foro utilizan Asturias para un  PULSO de familia. Luego contarán los heridos y pactarán el gobierno. Todo a costa de Asturias.,1,pp for utiliz asturi puls famili lueg cont her pact gobiern cost asturi
8711,@demimendozaa Obvio ya quiero llegar y verte Así que de una vez organiza Ixma,2,obvi quier lleg vert asi vez organiz ixma
8160,"@andynuinsa @D_MolinaM @mzmcr @jeskomedina Pero son los periodistas de La Nación, ud dijo que eran los dueños de la verdad y vea.11 ideal",1,period nacion ud dij dueñ verd vea 11 ideal
6871,La prevención social  del estado del bienestar y la limpieza y protección de los bosques son caras y nos acordaremos de ellas cuando truene.,1,prevencion social bienest limpiez proteccion bosqu car acord truen
4423,9 pasos básicos para crear una estratégia de marca personal (personal branding) http://t.co/v0Oc61n3 (vía @GeeksRoom),2,9 pas basic cre estrategi marc personal personal branding
6863,El magnate de  Eurovegas Adelson  aprecia las políticas de Esperanza Aguirre. Tal para cual: Paraíso fiscal e infierno social y laboral.,0,magnat euroveg adelson apreci polit esper aguirr tal parais fiscal infiern social laboral
6987,"La situación es complicada, pero el Gobierno sabe lo que tiene que hacer para que España vuelva a crecer y crear empleo http://t.co/lqomZHQ9",2,situacion complic gobiern sab hac españ vuelv crec cre emple
4868,".@Jiwert Querido ministro: no es cierto, a no ser que del ""universo"" España excluyas Barcelona, Lleida, Tarragona, Vizcaya, Guipuzcoa...",1,quer ministr ciert ser univers españ exclu barcelon lle tarragon vizcay guipuzco ...
4376,Congreso PP. Compromisarios viendo un video biográfico de Fraga. #17CongresoPP http://t.co/C6treUDW,0,congres pp compromisari viend vide biograf frag 17congresopp
11346,Alguna buena moza que me diga a qué hora y qué días echan Teen Wolf ,0,algun buen moz dig hor dias echan teen wolf
2926,"Aumenta el comunicador digital  permanente en la red , 9,2%",2,"aument comun digital permanent red 9,2"
16823,@Anonymouslimon @juanmacapa @iunida @upyd lo que creo que deberían hacer los partidos minoritarios es luchar todos un poco mas juntos!!!,0,cre deb hac part minoritari luch mas junt
13478,@Gadhafy a mi me renovaron y no me tocaron (hasta ahora) el sueldo así que ando más o menos easy,2,renov toc ahor sueld asi ando men easy
14642,Ven al intercambiador de Nuevos Ministerios a oir las propuestas de @upyd con Yolanda Sanchez @aanchuelo @UPyD_Madrid #cadavotovale,0,ven intercambi nuev ministeri oir propuest yoland sanchez cadavotoval
4350,"Carlos Fabra incluido? RT “@PabloAIglesias: Los nuevos Estatutos PP obligan a expedientar automaticamente a imputados y llevados a juicio""",1,carl fabr inclu rt “ nuev estatut pp oblig expedient automat imput llev juici
10318,"@EddGZ Neel, eso no me gusta, mejor tú y el día que sea, por la tarde, y busco adaptarme",0,neel gust mejor dia tard busc adapt
3697,Alemania un Bric. El mayor socio comercial de Alemania sera China y no Fancia. http://t.co/c9H4pbMQ,0,alemani bric mayor soci comercial alemani ser chin fanci
2013,También hablaremos en @TDtarde @13television de la corrupción que se sienta en el banquillo.,1,habl corrupcion sient banquill
12680,Esta lleno de mosquitos los odiooooo,1,llen mosquit odioo
11365,"@senior_Esfera qué va, son tranquilas, nunca logra refutarme nada ",2,va tranquil nunc logr refut
5677,RT @siamanecepunset: Vamos @_RobertoSanchez con las #excusasParaLlegarTarde hoy lo analizamos en @siamanece,0,vam excusasparallegartard hoy analiz
12506,¡Llegamos a los 8000 seguidores! Gracias por acompañarnos en el camino del trabajo independiente. Sigamos creciendo juntos #freelancer,2,¡ lleg 8000 seguidor graci acompañ camin trabaj independient sig crec junt freelanc
15189,"el 20N no se trata d cambiar de Gobierno, sino de conservar derechos.No contribuyas al retroceso, #votapsoe @conRubalcaba",2,20n trat d cambi gobiern sin conserv derechos.n contribu retroces votapso
2147,"Dorado (CGPJ) elogia la elección de Ruiz-Gallardón para Justicia frente al equipo ""tremendamente desleal"" de Caamaño http://t.co/IYpBGJ1F",0,dor cgpj elogi eleccion ruiz-gallardon justici frent equip tremend desleal caamañ
2705,#americanhorrorstory me está enganchando,2,americanhorrorstory enganch
16487,.@iunida privilegios que no existen? no tributar como cualquier español no es un derecho es un privilegio. #Rebélate que verás esta gente,0,privilegi exist tribut cualqui español derech privilegi rebelat veras gent
11496,@pvaya @Sailor_Tesserei @Sh3rryMH es que es una reivindicación muy de moda... Ya sabes... de gente pedante como yo ,0,reivind mod ... sab ... gent pedant
14088,"→ ¡Ya lo sabes, sigue a @Sedapal en sus Redes Sociales! Excelente semana para todos",0,→ ¡ sab sig red social excelent seman
810,"Lo que hereda Rajoy. Encuesta de Metroscopia para ELPAIS sobre el pesimismo ciudadano y la opinión ante los recortes,Amaiur y Urdangarin.",1,hered rajoy encuest metroscopi elpais pesim ciudadan opinion recort amaiur urdangarin
5317,Y aquí cierro este SuperMartes. Gracias a los amigos que hoy me han arropado. Gracias a los amigos que me arropan siempre.,2,aqu cierr supermart graci amig hoy arrop graci amig arrop siempr
9820,"@cmercadoo si, pero tu le vas al Atlas, al Ame y a no se cuantos mas... sorry por los acentos, este teclado del ipad me tiene loca",1,si vas atlas ame cuant mas ... sorry acent tecl ipad loc
312,Plan de ciudados paliativos para menores http://t.co/uwckd1sp,0,plan ciud paliat menor
2073,Increíble:  Rajoy dice que no nombró vicepresidente primero porque quería dar la cara sobre la crisis.  Cuándo y dónde ?,1,increibl rajoy dic nombr vicepresident primer quer dar car crisis cuand dond
16541,"@girasolok @javierm @iunida cargas policiales, no disturbios. A nuestro compañero le han detenido al llegar una carga mientras hablaba",1,carg policial disturbi compañer deten lleg carg mientr habl
13112,"Yo, la que te reza, la de mil caricias calmas, la que te suspira, la de sueños eternos. Sigo siendo yo, contigo, sin ti, tan tuya sin ti",0,rez mil carici calm suspir sueñ etern sig siend contig tan
7735,Los esfuerzos de @marianorajoy lograrán terminar con los malditos efectos del estalinismo ,2,esfuerz logr termin maldit efect estalin
885,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa,2,¡ notici descombac dispon
1790,Preparados!Listos!Ya! http://t.co/xBfQaOmk,2,prepar list
9884,la lencha de mi proveedor de cristal me esta acosando y me tengo que dejar para que si me de el material rapido  Dios mio,1,lench proveedor cristal acos dej si material rap dios mio
3454,El equipo de El PAIS y POLITICA ya esta instalado en el 38 Congreso del PSOE para contarlo todo. Empieza la función ... http://t.co/cp85vblf,2,equip pais polit instal 38 congres pso cont empiez funcion ...
3895,"Y en el #Gabinete , el humor francés, con Sardà, @elisabeni  y el Gral Monzón.",0,gabinet humor frances sardà gral monzon
14429,Extraño tener a mis padres juntos,0,extrañ ten padr junt
10467,"@bbzote sí, pero nada. Creo que es por vivir en la última calle ya les dio flojera",1,cre viv ultim call dio flojer
15247,"Lleno con 5000 personas en mitin d @marianorajoy en Sevilla. Eso sí, el polideportivo esta cortado a la mitad #camPPaña http://t.co/311oAXRt",2,llen 5000 person mitin d sevill polideport cort mit camppañ
8250,siempre que intento ver una nueva serie en NF termino viendo stranger things.,0,siempr intent ver nuev seri nf termin viend strang things
16137,".@JuanMoscosodelP y @mavichina señalan que ""solo el voto a @conRubalcaba salvará las prestaciones de dependencia... http://t.co/E6dJOEq1",2,señal sol vot salv prestacion dependent ...
8013,"@TomasZumad Ando peor que Tinkerbell en sus años mozos. ¿Y si nos vemos hoy? Tía se fue a la romería, estoy sola y tengo maqueta q hacer.",1,ando peor tinkerbell años moz ¿ si vem hoy tia rom sol maquet q hac
8853,"@franky2055 que dichoso ya casi terminas, yo apenas voy por el 85 jaja",0,dichos casi termin apen voy 85 jaj
12571,Que bueno ver a personas que te alegran Aunque sean sólo 2 minutos,2,buen ver person alegr aunqu sol 2 minut
15785,". @equipogallardon :""hay que decirle a los españoles que la visión derrotista y pesimista de España q tiene el @psoe no es verdad"" #VotaPP",0,dec español vision derrot pesim españ q verd votapp
15228,"@conRubalcaba escucha a @CarmeChacon2011 Quien habla del debate, según ella dice:Rbcb contra Rbcb #20N http://t.co/RzGlw35L",0,escuch habl debat segun dic rbcb rbcb 20n
7926,@ahorapodemos  @ierrejon que poca humanidad y poca verguenza ,1,poc human poc verguenz
1468,#Chacón defiende que las primarias del @PSOE se abran a los simpatizantes http://t.co/zTeitofl,2,chacon defiend primari abran simpatiz
470,"Los dos nombramientos de Rajoy son De mano dura con guante de plata. A Posada dará bien  la talla, guiño a Castilla y León.",0,dos nombramient rajoy man dur guant plat pos dar bien tall guiñ castill leon
2722,Me gusta que el Canijo sea TT. Tengo ganas de ver lo que trae este año!,2,gust canij tt gan ver tra año
5419,"El Día Internacional de la Mujer no es una fiesta, es para reivindicar y persistir. Igual naturaleza, igual derecho en todos los países.",2,dia internacional muj fiest reivindic persist igual naturalez igual derech pais
9098,Toda mi familia va a estar dormida en mi graduación,1,tod famili va dorm graduacion
15164,#RENTSOC DRY impulsa una reclamación masiva contra el sistema electoral el #20N http://t.co/b2v8OPJd Vía @tercerainfo3i,0,rentsoc dry impuls reclam masiv sistem electoral 20n
10494,@SamanthaSarahy muchas felicidades! Pásala genial abrazo! 🥇,2,much felic pasal genial abraz 🥇
6041,El @PPMalaga ve cerca lograr el décimo parlamentario por #Málaga  http://t.co/iSNlN9so #elcambioandaluz,2,ve cerc logr decim parlamentari malag
2744,"#ConsejosNYC Lo único bueno de ir a ver ""The Book of Mormon"" fue descubrir un nuevo Lillie's en la 49: http://t.co/l81J5Rq8",0,consejosnyc unic buen ir ver the book of mormon descubr nuev lillie's 49
15402,#PP: En España viven 9 millones de personas por debajo del umbral de pobreza. #yovotoamariano #Sumatealcambio #VotaPP,0,pp españ viv 9 millon person debaj umbral pobrez yovotoamarian sumatealcambi votapp
15302,Microcréditos para jóvenes con un tipo de interés subvencionado dirigidos a emprendedores y microempresas #sumatealcambio #votaPP,0,microcredit joven tip interes subvencion dirig emprendedor microempres sumatealcambi votapp
12580,"@ebelgeri sobre todo la parte de la nota q dice q hay q pasarsela a los del mismo color, algo q para Uruguay es revolucionario",1,part not q dic q q pas mism color q uruguay revolucionari
14068,@YurikitoKSP lo haz asustado al pobre,1,haz asust pobr
